pays,population,lien,last_update
 India ," 1,463,865,525 ",https://www.worldometers.info//world-population/india-population/,2026-01-11 00:24:07.511073
 China ," 1,416,096,094 ",https://www.worldometers.info//world-population/china-population/,2026-01-11 00:24:07.511170
 United States ," 347,275,807 ",https://www.worldometers.info//world-population/us-population/,2026-01-11 00:24:07.511243
 Indonesia ," 285,721,236 ",https://www.worldometers.info//world-population/indonesia-population/,2026-01-11 00:24:07.511277
 Pakistan ," 255,219,554 ",https://www.worldometers.info//world-population/pakistan-population/,2026-01-11 00:24:07.511307
 Nigeria ," 237,527,782 ",https://www.worldometers.info//world-population/nigeria-population/,2026-01-11 00:24:07.511343
 Brazil ," 212,812,405 ",https://www.worldometers.info//world-population/brazil-population/,2026-01-11 00:24:07.511411
 Bangladesh ," 175,686,899 ",https://www.worldometers.info//world-population/bangladesh-population/,2026-01-11 00:24:07.511444
 Russia ," 143,997,393 ",https://www.worldometers.info//world-population/russia-population/,2026-01-11 00:24:07.511472
 Ethiopia ," 135,472,051 ",https://www.worldometers.info//world-population/ethiopia-population/,2026-01-11 00:24:07.511504
 Mexico ," 131,946,900 ",https://www.worldometers.info//world-population/mexico-population/,2026-01-11 00:24:07.511533
 Japan ," 123,103,479 ",https://www.worldometers.info//world-population/japan-population/,2026-01-11 00:24:07.511562
 Egypt ," 118,365,995 ",https://www.worldometers.info//world-population/egypt-population/,2026-01-11 00:24:07.511590
 Philippines ," 116,786,962 ",https://www.worldometers.info//world-population/philippines-population/,2026-01-11 00:24:07.511618
 DR Congo ," 112,832,473 ",https://www.worldometers.info//world-population/democratic-republic-of-the-congo-population/,2026-01-11 00:24:07.511644
 Vietnam ," 101,598,527 ",https://www.worldometers.info//world-population/vietnam-population/,2026-01-11 00:24:07.511671
 Iran ," 92,417,681 ",https://www.worldometers.info//world-population/iran-population/,2026-01-11 00:24:07.511698
 Turkey ," 87,685,426 ",https://www.worldometers.info//world-population/turkey-population/,2026-01-11 00:24:07.511725
 Germany ," 84,075,075 ",https://www.worldometers.info//world-population/germany-population/,2026-01-11 00:24:07.511754
 Thailand ," 71,619,863 ",https://www.worldometers.info//world-population/thailand-population/,2026-01-11 00:24:07.511782
 Tanzania ," 70,545,865 ",https://www.worldometers.info//world-population/tanzania-population/,2026-01-11 00:24:07.511809
 United Kingdom ," 69,551,332 ",https://www.worldometers.info//world-population/uk-population/,2026-01-11 00:24:07.511838
 France ," 66,650,804 ",https://www.worldometers.info//world-population/france-population/,2026-01-11 00:24:07.511866
 South Africa ," 64,747,319 ",https://www.worldometers.info//world-population/south-africa-population/,2026-01-11 00:24:07.511898
 Italy ," 59,146,260 ",https://www.worldometers.info//world-population/italy-population/,2026-01-11 00:24:07.511925
 Kenya ," 57,532,493 ",https://www.worldometers.info//world-population/kenya-population/,2026-01-11 00:24:07.511959
 Myanmar ," 54,850,648 ",https://www.worldometers.info//world-population/myanmar-population/,2026-01-11 00:24:07.511989
